tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 08:30:44,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 08:30:44,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 09:54:52,Blanco,AP-68,33,33,BILBAO,-2.873356,42.99057,66
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 09:54:52,Blanco,AP-68,33,33,ZARAGOZA,-2.87367,42.99056,66
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 09:54:52,Blanco,AP-68,33,33,ZARAGOZA,-2.87367,42.99056,66
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 08:30:44,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 08:30:44,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,Iruña Oka/Iruña de Oca,2006-11-18 07:08:56,Blanco,N-1,339,339,IRÚN,-2.806906,42.8055,95
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-17 09:22:31,Blanco,AP-68,23,23,ZARAGOZA,-2.931188,43.06375,50
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-17 10:01:10,Blanco,AP-68,38,38,ZARAGOZA,-2.87697,42.95297,53
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-17 09:22:31,Blanco,AP-68,23,23,ZARAGOZA,-2.931188,43.06375,50
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-17 09:22:31,Blanco,AP-68,23,23,ZARAGOZA,-2.931188,43.06375,50
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-16 08:37:14,Blanco,AP-68,24,24,BILBAO,-2.931558,43.05477,114
